"id";"1_Total";"1_Partner";"1_Children";"1_All";"2_Total";"2_Partner";"2_Children";"2_All";"3_Total";"3_Partner";"3_Children";"3_All";"10_Total";"10_Partner";"10_Children";"10_All";"20_Total";"20_Partner";"20_Children";"20_All";"30_Total";"30_Partner";"30_Children";"30_All";"35_Total";"35_Partner";"35_Children";"35_All";"40_Total";"40_Partner";"40_Children";"40_All";"50_Total";"50_Partner";"50_Children";"50_All";"60_Total";"60_Partner";"60_Children";"60_All";"70_Total";"70_Partner";"70_Children";"70_All";"80_Total";"80_Partner";"80_Children";"80_All";"90_Total";"90_Partner";"90_Children";"90_All";"95_Total";"95_Partner";"95_Children";"95_All";"3800_total";"3800_Partner";"3800_Children";"3800_All"
806793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806811;490;490;0;0;105;65;0;0;35;15;0;0;0;0;0;0;0;0;0;0;165;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;70;0;0;135;0;0;0;260;150;0;0;160;150;0;0;10;0;0;0;0;0;0;0
806814;630;0;0;0;170;60;0;90;60;0;0;0;0;0;0;0;0;0;0;0;270;190;0;0;0;0;0;0;0;0;0;0;70;0;0;70;0;0;0;0;135;45;0;30;75;75;0;0;0;0;0;0;30;10;0;0;0;0;0;0
806823;480;0;0;0;130;10;0;120;60;10;0;0;0;0;0;0;0;0;0;0;320;70;0;160;0;0;0;0;0;0;0;0;50;15;0;20;80;70;0;0;40;0;0;0;55;45;0;10;175;0;0;130;50;10;0;20;130;0;0;125
806890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806912;270;270;0;0;80;0;0;0;30;0;0;0;140;140;0;0;0;0;0;0;140;0;0;0;0;0;0;0;250;0;0;0;70;0;0;0;60;0;0;0;50;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807022;460;460;0;0;135;95;0;40;40;20;0;0;0;0;0;0;0;0;0;0;450;240;0;160;0;0;0;0;0;0;0;0;235;150;0;35;0;0;0;0;10;0;0;0;35;35;0;0;35;0;0;25;40;10;0;10;130;40;0;90
807040;360;350;0;0;95;30;0;0;95;25;0;0;15;15;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;30;0;25;50;0;0;45;35;0;0;0;85;0;0;0;0;0;0;0
807083;260;260;0;0;70;60;0;0;15;0;0;0;0;0;0;0;0;0;0;0;60;20;0;0;0;0;0;0;0;0;0;0;70;10;0;0;60;60;0;0;150;70;0;0;210;160;0;0;135;80;0;0;100;30;0;40;0;0;0;0
807135;280;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;30;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807138;620;0;0;0;100;100;0;0;10;0;0;0;0;0;0;0;320;320;0;0;20;20;0;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;40;0;0;0;170;170;0;0;10;0;0;0;20;0;0;0;0;0;0;0
807244;130;130;0;0;65;40;0;0;25;0;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;70;70;0;0;180;30;0;0;0;0;0;0;65;0;0;0;15;10;0;0;210;0;0;0;30;0;0;0;0;0;0;0
807257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
